knee_angle,knee_cross,hip_angle,hip_cross,back_angle,knee_label,hip_label,back_label,overall_label
94.65,0.164,86.87,0.0592,54.89,0,0,1,1
90.34,0.1042,106.28,0.0799,44.7,0,1,0,1
96.11,-0.1928,76.04,-0.1065,28.96,0,2,2,2
88.21,0.1146,96.78,0.1636,36.21,0,0,0,0
95.52,-0.1269,90.98,0.0285,37.67,0,0,0,0
97.89,-0.0714,83.43,0.0444,38.06,0,0,0,0
97.1,0.2869,84.27,-0.0924,27.91,1,0,2,1
86.97,-0.1112,92.23,0.0381,47.97,0,0,0,0
85.32,0.092,88.37,0.0591,27.27,0,0,2,2
90.72,0.0218,83.97,-0.1379,22.55,0,0,2,2
94.82,-0.1411,81.04,-0.0376,16.8,0,0,2,2
98.07,-0.1117,91.79,-0.0316,33.85,0,0,0,0
97.04,0.1217,87.31,-0.0691,37.25,0,0,0,0
143.13,0.1247,135.89,-0.0295,49.41,3,3,0,3
86.45,0.0519,96.42,-0.0064,43.87,0,0,0,0
92.13,-0.507,85.66,-0.0241,31.62,2,0,0,2
95.99,-0.0631,67.1,-0.0308,38.55,0,2,0,2
112.87,0.4505,108.93,0.0785,62.78,1,1,1,1
93.65,0.0689,105.81,0.1794,43.3,0,1,0,1
91.51,-0.0764,114.23,0.0331,51.15,0,1,1,1
135.78,-0.0564,118.68,0.0083,40.35,3,3,0,3
92.44,0.0366,80.04,-0.0205,37.63,0,0,0,0
91.13,-0.0125,97.5,0.107,31.35,0,0,0,0
91.97,-0.1148,65.15,-0.0639,45.63,0,2,0,2
103.89,0.3794,108.68,0.04,58.06,1,1,1,1
92.6,0.0892,90.25,-0.0737,43.88,0,0,0,0
92.88,0.1368,86.41,-0.0739,41.18,0,0,0,0
93.22,-0.0074,96.34,-0.0858,32.95,0,0,0,0
87.22,0.3694,90.4,0.0656,42.15,1,0,0,1
107.72,0.0769,90.04,-0.2598,39.76,1,0,0,1
88.61,-0.5704,91.07,0.0043,39.06,3,0,0,3
78.35,-0.3373,63.51,-0.1383,21.61,2,2,2,2
88.96,-0.0141,99.18,-0.1256,49.12,0,0,0,0
57.07,0.1057,99.14,0.0445,34.88,3,0,0,3
91.02,0.3565,94.7,-0.152,47.73,1,0,0,1
81.71,0.0066,81.81,0.1645,38.3,2,0,0,2
88.87,-0.2113,88.45,-0.0168,34.95,0,0,0,0
101.67,0.1934,98.58,-0.0325,34.05,1,0,0,1
109.02,0.1246,85.95,-0.0654,40.07,1,0,0,1
137.37,0.1897,125.12,0.0999,33.72,3,3,0,3
83.63,-0.1044,111.49,0.0531,47.94,2,1,0,1
78.66,-0.4276,74.84,0.022,18.49,2,2,2,2
88.89,0.0039,83.47,-0.1384,30.13,0,0,0,0
95.36,-0.1754,86.53,0.1285,63.78,0,0,1,1
93.22,0.0179,88.18,-0.0381,37.26,0,0,0,0
97.34,0.1795,90.36,0.1334,31.93,0,0,0,0
86.79,0.0549,106.42,0.0846,41.89,0,1,0,1
108.71,-0.0333,92.24,0.0746,43.34,1,0,0,1
88.68,-0.3277,92.09,0.1498,49.27,2,0,0,2
102.81,0.2922,102.29,0.0151,48.93,1,1,0,1
70.3,0.0788,92.4,0.0243,49.61,2,0,0,2
78.56,-0.0862,90.21,0.0352,34.08,2,0,0,2
87.94,-0.3372,88.25,0.0177,31.92,2,0,0,2
47.0,0.7154,46.43,0.0388,78.97,3,3,3,3
83.59,0.0034,80.22,-0.0022,38.2,2,0,0,2
89.18,0.21,90.77,0.0664,35.32,0,0,0,0
102.47,0.855,98.89,-0.0155,31.97,3,0,0,3
88.44,-0.1728,84.11,0.1789,52.55,0,0,1,1
63.92,0.1208,97.57,-0.1174,40.54,3,0,0,3
83.8,-0.7832,79.74,-0.0041,31.01,3,3,0,3
90.92,-0.2403,71.88,0.1183,44.22,2,2,0,2
97.65,-0.3296,89.66,0.1453,42.67,2,0,0,2
89.05,-0.2362,82.79,0.0471,55.66,0,0,1,1
74.63,-0.4968,75.21,-0.0619,24.08,2,2,2,2
74.86,0.0732,94.66,0.1489,31.88,2,0,0,2
95.51,0.0128,95.52,0.0268,30.84,0,0,0,0
95.96,-0.0747,91.15,-0.1557,35.39,0,0,0,0
90.71,0.19,86.75,-0.0818,34.29,0,0,0,0
94.63,0.4105,99.17,0.1256,33.84,1,0,0,1
97.76,0.1191,87.43,-0.0777,43.85,0,0,0,0
93.41,-0.3437,87.15,-0.0746,32.34,2,0,0,2
89.75,-0.6783,88.21,0.0203,31.29,3,0,0,3
90.98,0.2034,106.76,-0.0037,37.14,0,1,0,1
90.07,-0.1893,91.01,0.0838,46.75,0,0,0,0
113.41,0.4249,104.63,0.1182,60.83,1,1,1,1
90.4,0.4134,86.48,-0.0313,51.96,1,0,1,1
92.04,-0.1843,85.37,-0.2005,48.86,0,0,0,0
92.62,0.6736,94.07,0.053,37.53,3,0,0,3
96.71,0.0486,91.59,-0.0126,60.03,0,0,1,1
44.55,0.484,51.69,0.031,77.23,1,3,3,3
98.2,-0.1371,99.03,0.0001,40.02,0,0,0,0
87.97,0.1009,94.23,0.0709,39.37,0,0,0,0
139.18,0.1312,128.76,-0.2177,34.89,3,3,0,3
104.55,-0.1838,95.65,-0.1527,32.42,1,0,0,1
91.05,-0.0454,90.19,-0.0727,31.85,0,0,0,0
91.11,0.5686,95.13,-0.0792,47.8,3,0,0,3
93.73,-0.1742,83.83,0.1959,42.06,0,0,0,0
89.29,0.1373,82.75,0.0058,41.08,0,0,0,0
96.45,-0.2997,90.48,-0.045,34.19,2,0,0,2
83.93,-0.0103,113.76,-0.0294,37.81,2,1,0,1
88.72,-0.0963,82.6,-0.1282,42.43,0,0,0,0
103.25,0.3078,86.3,-0.1608,43.16,1,0,0,1
53.29,0.8696,43.97,0.0889,82.3,3,3,3,3
46.02,0.561,45.12,-0.0274,77.44,3,3,3,3
87.45,0.1086,95.2,0.1048,35.78,0,0,0,0
92.35,-0.1896,92.6,0.006,42.11,0,0,0,0
99.26,-0.4962,83.89,0.0165,43.71,2,0,0,2
89.47,-0.3636,85.56,-0.1082,42.5,2,0,0,2
91.83,0.0775,86.85,0.0199,34.79,0,0,0,0
97.6,0.1338,96.07,0.1056,32.07,0,0,0,0
99.23,0.0147,98.43,-0.1596,37.55,0,0,0,0
94.34,-0.4007,89.29,-0.0002,34.02,2,0,0,2
58.93,-0.0763,96.11,-0.0044,41.33,3,0,0,3
113.6,0.2158,135.68,0.0388,48.03,1,3,0,3
51.18,0.4933,58.1,0.0903,77.58,1,3,3,3
89.34,-0.607,93.84,-0.0049,50.45,3,0,3,3
97.72,0.323,93.93,-0.1013,41.54,1,0,0,1
143.08,0.2085,133.88,0.1103,35.41,3,3,0,3
92.71,-0.1341,88.67,-0.0205,30.05,0,0,0,0
67.64,0.0625,80.5,-0.0464,51.81,3,0,1,3
87.38,-0.2084,98.13,-0.1829,83.67,0,0,3,3
92.85,0.1562,72.46,0.0827,27.28,0,2,2,2
92.07,0.8445,91.39,0.0119,46.99,3,0,0,3
111.02,0.1052,84.72,0.0478,40.93,1,0,0,1
75.26,-0.1603,86.73,0.1033,32.73,2,0,0,2
111.62,0.282,89.02,-0.0856,41.63,1,0,0,1
95.71,-0.3325,92.0,-0.1113,41.07,2,0,0,2
93.14,-0.1174,108.16,-0.0763,41.85,0,1,0,1
95.13,0.0645,90.73,-0.028,34.92,0,0,0,0
79.3,0.2136,97.03,-0.0855,40.84,2,0,0,2
93.65,0.3266,90.33,-0.0702,32.36,1,0,0,1
50.01,0.8761,31.05,0.1584,77.5,3,3,3,3
109.63,0.1958,108.86,-0.0578,61.91,1,1,1,1
89.42,-0.0688,92.39,-0.1544,32.67,0,0,0,0
55.81,0.1721,98.14,0.1595,42.05,3,0,0,3
114.02,-0.1252,131.47,-0.1231,31.46,1,3,0,3
80.74,0.1197,89.66,0.181,28.71,2,0,2,2
85.94,0.4377,99.27,-0.0198,40.7,1,0,0,1
87.54,0.4282,76.27,-0.2014,35.65,1,2,0,1
67.82,0.7154,49.91,0.0796,78.02,3,3,3,3
86.15,-0.1526,63.17,-0.0107,42.91,0,2,0,2
60.39,0.6113,50.56,0.0539,73.43,3,3,3,3
99.44,0.1012,90.35,-0.0075,60.9,0,0,1,1
98.88,-0.6434,86.38,0.0832,43.64,3,0,0,3
92.29,0.2026,69.93,0.0417,47.91,0,2,0,2
95.29,-0.2247,93.05,0.195,40.0,0,0,0,0
80.98,0.1416,86.33,0.1007,33.36,2,0,0,2
89.4,0.0324,84.21,-0.2086,36.74,0,0,0,0
90.1,-0.1464,72.13,0.0359,36.18,0,2,0,2
97.86,0.1322,83.18,0.0924,39.61,0,0,0,0
99.31,-0.109,85.82,-0.064,40.04,0,0,0,0
88.61,0.3037,88.2,-0.0781,40.06,1,0,0,1
86.47,-0.0013,74.26,-0.0194,38.12,0,2,0,2
94.07,0.4891,96.78,0.0868,44.01,1,0,0,1
92.39,0.3705,88.01,0.0118,30.4,1,0,0,1
95.76,0.0831,104.52,0.0778,84.49,0,1,3,3
58.85,0.9435,50.46,-0.052,76.46,3,3,3,3
88.74,0.1148,75.18,-0.1308,49.44,0,2,0,2
131.38,0.0438,139.91,-0.0576,33.22,3,3,0,3
96.17,-0.2175,83.84,0.0059,34.78,0,0,0,0
102.17,0.0914,81.47,-0.1534,66.74,1,0,3,3
79.61,-0.4876,62.64,0.0777,21.63,2,2,2,2
88.17,0.3737,88.28,-0.0601,42.59,1,0,0,1
101.46,-0.1618,91.01,0.0436,41.23,1,0,0,1
90.5,0.4237,93.56,-0.0,44.11,1,0,0,1
78.53,-0.2188,94.39,-0.1237,28.49,2,0,2,2
86.18,0.3885,86.77,0.0181,48.05,1,0,0,1
87.51,0.1651,84.99,0.0226,30.32,0,0,0,0
94.99,0.0766,89.01,0.0901,31.26,0,0,0,0
85.61,0.4599,80.01,-0.2005,48.46,1,0,0,1
80.31,-0.1902,91.8,0.1296,43.65,2,0,0,2
74.03,-0.0492,83.32,0.0662,38.45,2,0,0,2
95.02,-0.1081,83.44,-0.0962,47.75,0,0,0,0
97.67,-0.1924,64.0,0.0997,32.57,0,2,0,2
94.38,0.0074,83.51,0.0529,35.09,0,0,0,0
76.5,0.056,86.75,-0.1407,45.65,2,0,0,2
101.7,-0.5175,92.74,-0.1046,43.06,2,0,0,2
53.83,0.1171,98.41,-0.0837,38.08,3,0,0,3
126.67,-0.1293,129.44,0.0552,43.79,3,3,0,3
90.66,0.0889,85.99,-0.0707,41.34,0,0,0,0
112.1,0.2245,84.8,0.0393,44.76,1,0,0,1
99.06,-0.1452,95.45,-0.0173,41.73,0,0,0,0
58.84,0.8272,54.62,0.0538,79.67,3,3,3,3
78.85,-0.2084,84.88,-0.0841,39.21,2,0,0,2
94.39,-0.0125,89.8,0.1359,42.23,0,0,0,0
114.03,-0.2005,91.62,0.0002,47.96,1,0,0,1
101.44,-0.4339,84.38,0.1241,36.31,2,0,0,2
93.18,0.1242,114.36,0.0826,31.06,0,1,0,1
90.43,0.0087,106.95,0.0704,48.52,0,1,0,1
59.39,0.0086,83.99,-0.2269,38.45,3,0,0,3
86.9,0.3637,84.94,0.0413,37.1,1,0,0,1
87.4,0.217,81.96,0.1241,44.59,0,0,0,0
93.23,-0.1207,88.95,-0.0007,33.26,0,0,0,0
127.5,-0.1522,120.11,-0.1714,52.82,3,3,1,3
89.06,-0.1391,81.73,0.0402,43.35,0,0,0,0
86.58,-0.2267,93.45,0.0362,53.75,0,0,1,1
91.91,0.2332,87.15,-0.0409,79.68,0,0,3,3
88.29,-0.0728,99.31,0.0116,44.46,0,0,0,0
96.45,0.1638,82.34,0.0995,34.41,0,0,0,0
90.07,-0.2144,92.08,0.0644,40.49,0,0,0,0
99.33,0.1818,81.15,-0.0144,45.14,0,0,0,0
93.19,0.007,87.07,0.0008,37.05,0,0,0,0
90.27,-0.1142,83.22,-0.056,31.32,0,0,0,0
93.62,0.1682,90.13,0.0496,58.62,0,0,1,1
89.69,0.2106,87.62,0.0913,74.45,0,0,3,3
103.04,-0.543,91.8,0.0547,35.29,2,0,0,2
93.59,0.6307,85.21,0.0059,48.72,3,0,0,3
63.5,0.6938,43.81,-0.1047,74.74,3,3,3,3
98.82,-0.0392,98.94,0.0184,39.98,0,0,0,0
102.41,0.0145,86.51,0.123,34.75,1,0,0,1
48.07,0.6912,36.1,0.1162,74.36,3,3,3,3
77.18,-0.08,87.16,0.1701,48.26,2,0,0,2
97.57,0.0669,93.04,0.0639,44.75,0,0,0,0
90.64,0.1862,110.67,0.1539,36.81,0,1,0,1
61.77,0.5991,63.18,0.0256,64.32,3,2,1,3
97.21,-0.1554,90.03,0.1839,34.58,0,0,0,0
94.07,-0.6336,85.52,0.0086,42.87,3,0,0,3
88.27,0.1713,95.31,0.0047,40.88,0,0,0,0
77.11,-0.0944,85.56,0.0711,38.02,2,0,0,2
95.04,0.0149,83.22,-0.0354,38.2,0,0,0,0
93.99,-0.2421,101.07,0.0272,38.29,2,1,0,1
98.61,0.2268,86.45,0.1345,46.75,0,0,0,0
89.52,-0.1911,113.17,-0.0052,48.09,0,1,0,1
92.29,-0.0143,81.04,0.0734,49.41,0,0,0,0
86.36,-0.0239,86.87,-0.0442,40.36,0,0,0,0
49.64,0.0371,98.94,0.1768,35.68,3,0,0,3
91.55,0.8727,93.48,0.1245,39.35,3,0,0,3
82.71,0.0458,91.13,-0.0808,42.3,2,0,0,2
86.13,-0.4268,81.09,-0.018,32.59,2,0,0,2
86.93,0.087,87.38,0.0555,21.59,0,0,2,2
90.78,0.151,95.06,-0.0844,35.35,0,0,0,0
93.94,0.0053,94.54,-0.0898,44.01,0,0,0,0
97.33,-0.0969,68.39,-0.094,37.08,0,2,0,2
124.75,-0.182,138.9,-0.1467,44.77,3,3,0,3
61.82,0.6286,46.08,0.0503,68.8,3,3,3,3
92.48,-0.2062,83.05,-0.1247,40.51,0,0,0,0
96.36,0.7753,86.22,0.1764,39.82,3,0,0,3
86.5,-0.1542,109.31,-0.1142,39.35,0,1,0,1
98.09,0.115,93.21,-0.0598,47.09,0,0,0,0
95.04,0.2049,95.91,0.1341,39.46,0,0,0,0
93.69,-0.744,90.49,0.0521,38.58,3,0,0,3
94.52,0.0959,86.56,0.0971,35.41,0,0,0,0
71.11,0.7694,51.3,-0.0525,73.66,3,3,3,3
94.04,-0.1276,91.76,0.2023,56.46,0,0,1,1
83.55,0.7048,78.97,0.0286,33.21,3,2,0,3
86.36,-0.2471,89.32,0.167,53.45,2,0,1,1
95.14,0.2274,87.1,-0.0655,82.02,0,0,3,3
96.18,0.3926,98.69,-0.0162,38.87,1,0,0,1
85.93,-0.2893,98.47,0.0418,45.63,2,0,0,2
95.11,0.037,88.83,0.1579,52.51,0,0,1,1
111.11,0.1628,84.52,-0.1373,46.68,1,0,0,1
91.19,0.0266,83.26,0.0506,39.37,0,0,0,0
87.88,-0.787,78.74,0.0342,43.6,3,2,0,3
91.8,-0.0297,90.87,0.0689,43.29,0,0,0,0
88.62,0.1685,90.64,0.0709,42.34,0,0,0,0
113.1,0.4004,108.77,0.0184,63.25,1,1,1,1
93.42,0.1623,93.99,-0.0175,59.44,0,0,1,1
109.52,-0.1367,92.32,-0.1116,35.81,1,0,0,1
89.55,0.1713,90.71,0.1333,47.73,0,0,0,0
91.98,0.6525,84.57,0.1053,41.92,3,0,0,3
96.75,-0.0703,90.54,-0.0302,44.17,0,0,0,0
76.38,-0.0991,80.46,-0.0719,48.22,2,0,0,2
94.54,-0.3589,87.14,0.1111,36.7,2,0,0,2
97.23,-0.7164,94.91,0.0846,37.03,3,0,0,3
90.77,0.0432,83.29,-0.1536,33.04,0,0,0,0
106.95,-0.1317,95.43,0.126,33.45,1,0,0,1
94.39,-0.477,89.67,0.1578,45.11,2,0,0,2
69.42,-0.0297,79.43,0.2082,36.15,3,3,0,3
87.77,-0.8692,86.58,-0.0186,26.56,3,0,2,3
97.04,0.3327,95.67,-0.0508,34.36,1,0,0,1
99.58,-0.7422,82.57,-0.1009,42.88,3,0,0,3
96.12,-0.0934,94.49,-0.0464,24.94,0,0,2,2
132.43,0.172,136.15,0.137,40.05,3,3,0,3
97.1,-0.0979,86.79,0.0562,40.72,0,0,0,0
103.6,0.2078,110.34,0.1144,60.85,1,1,1,1
94.45,-0.0952,82.78,-0.078,39.83,0,0,0,0
70.84,-0.2475,77.58,0.1578,53.03,2,2,1,2
57.36,-0.1116,85.57,-0.0584,38.5,3,0,0,3
85.1,0.139,87.01,0.0837,49.11,0,0,0,0
98.02,0.4409,95.71,-0.1638,39.53,1,0,0,1
88.65,0.0314,84.53,0.1167,40.12,0,0,0,0
92.37,0.0625,84.32,0.0457,47.86,0,0,0,0
80.48,-0.4787,66.32,-0.0643,30.66,2,2,0,2
107.12,0.4198,111.16,-0.092,57.52,1,1,1,1
110.34,-0.2154,82.31,-0.0715,37.16,1,0,0,1
94.9,-0.2113,85.85,-0.0196,26.47,0,0,2,2
87.68,0.0148,104.16,0.1162,47.54,0,1,0,1
89.73,-0.0612,89.64,-0.0417,42.35,0,0,0,0
67.19,-0.1508,94.59,-0.0273,49.6,3,0,0,3
99.41,0.2686,98.54,-0.1068,41.58,1,0,0,1
92.44,-0.2462,88.27,-0.0216,41.36,2,0,0,2
66.36,-0.0311,93.82,0.103,35.28,3,0,0,3
128.27,0.2287,132.08,0.1941,41.52,3,3,0,3
74.92,0.0306,92.58,0.103,40.76,2,0,0,2
62.09,0.1428,86.11,-0.0964,44.29,3,0,0,3
129.81,0.2144,140.34,0.0061,36.86,3,3,0,3
85.76,0.1191,88.9,-0.1484,40.99,0,0,0,0
97.53,-0.6579,90.3,0.1643,29.78,3,0,3,3
89.62,0.3024,97.32,0.0443,43.38,1,0,0,1
113.24,-0.0677,95.94,-0.0602,49.98,1,0,0,1
90.7,0.1378,96.05,-0.1032,35.03,0,0,0,0
101.71,0.1064,91.63,0.0064,41.36,1,0,0,1
98.52,-0.0131,88.73,-0.0823,46.12,0,0,0,0
53.06,0.7809,43.37,0.1605,81.93,3,3,3,3
71.14,-0.2464,89.45,-0.0289,48.52,2,0,0,2
88.08,-0.1221,82.96,-0.0818,39.57,0,0,0,0
71.82,0.0985,98.43,-0.0639,33.74,2,0,0,2
89.38,0.0713,112.67,-0.0138,35.68,0,1,0,1
96.31,0.4205,86.41,0.041,35.2,1,0,0,1
60.36,-0.1305,85.43,0.1805,42.36,3,0,0,3
79.71,-0.2652,64.32,-0.1283,18.55,2,2,2,2
95.06,0.0762,84.3,-0.0993,33.67,0,0,0,0
82.01,0.2066,91.19,0.1228,39.92,2,0,0,2
91.98,-0.3107,92.43,0.068,32.93,2,0,0,2
98.2,0.1652,82.15,-0.0913,38.39,0,0,0,0
90.13,-0.2239,92.94,-0.0882,62.07,0,0,1,1
95.22,-0.4455,85.79,0.0601,30.67,2,0,0,2
98.31,-0.5483,86.44,-0.0919,44.64,2,0,0,2
98.69,0.13,94.92,0.0882,26.5,0,0,2,2
97.84,0.199,86.94,0.0197,58.41,0,0,1,1
45.33,-0.1448,85.01,0.0216,38.72,3,0,0,3
90.13,-0.8098,91.33,0.0744,37.2,3,0,0,3
98.28,0.1001,92.14,0.1375,37.21,0,0,0,0
95.18,-0.149,89.1,-0.0158,75.43,0,0,3,3
91.46,-0.7173,82.48,-0.1656,33.73,3,0,0,3
93.76,-0.0105,83.59,0.1038,34.48,0,0,0,0
95.41,-0.1533,68.25,-0.0805,35.76,0,2,0,2
99.52,0.1732,88.48,-0.0844,17.05,0,0,2,2
85.01,0.2091,93.3,-0.0183,85.02,0,0,3,3
101.24,-0.1678,105.7,0.1747,45.12,1,1,0,1
128.01,-0.1563,135.05,-0.0829,46.21,3,3,0,3
85.35,0.0493,86.93,0.1176,58.2,0,0,1,1
89.81,-0.6113,85.03,-0.0727,45.27,3,0,0,3
98.08,0.1838,104.15,0.112,48.24,0,1,0,1
91.75,-0.0171,94.03,-0.2406,17.15,0,0,2,2
89.46,0.0782,96.7,0.0067,32.01,0,0,0,0
74.41,0.0564,97.19,-0.0107,27.13,2,0,2,2
84.51,-0.6924,95.32,-0.1571,30.93,3,0,0,3
92.07,-0.8475,97.59,-0.1018,40.53,3,0,0,3
96.8,0.5359,81.95,-0.1475,34.71,1,0,0,1
84.63,-0.6472,86.59,-0.0106,30.37,3,0,0,3
110.93,0.095,93.27,0.2193,44.62,1,0,0,1
105.03,0.0968,84.99,-0.2002,40.95,1,0,0,1
98.34,0.1246,84.62,-0.1504,44.44,0,0,0,0
89.76,-0.7891,85.35,0.0515,37.08,3,0,0,3
96.63,-0.0239,77.56,-0.1222,54.81,0,2,1,1
92.26,-0.4127,88.93,-0.0887,44.2,2,0,0,2
94.14,-0.0527,110.2,-0.0154,48.17,0,1,0,1
84.38,-0.3635,76.15,-0.0027,24.77,2,2,2,2
88.62,0.0146,82.51,0.196,31.74,0,0,0,0
71.7,-0.1733,84.26,0.0373,45.88,2,0,0,2
47.84,-0.0949,96.21,0.1043,48.45,3,0,0,3
94.36,-0.0783,98.7,-0.1834,44.87,0,0,0,0
103.14,0.4101,101.03,-0.0779,52.64,1,1,1,1
92.2,0.0286,90.05,-0.1267,35.23,0,0,0,0
89.37,-0.4074,91.73,0.0369,40.23,2,0,0,2
101.35,-0.523,95.38,0.1103,45.33,2,0,0,2
120.32,-0.2241,131.25,0.1825,48.34,3,3,0,3
94.89,0.7997,80.18,-0.0787,51.96,3,0,1,3
45.61,0.1925,96.25,0.0662,34.82,3,0,0,3
87.09,-0.0684,94.49,-0.0427,40.94,0,0,0,0
98.69,-0.116,92.88,-0.1293,58.91,0,0,1,1
97.23,-0.0112,88.24,0.0571,48.39,0,0,0,0
86.24,-0.4337,84.46,0.0477,44.35,2,0,0,2
96.12,0.3067,82.42,-0.0206,37.91,1,0,0,1
96.31,-0.1226,80.61,0.0406,36.95,0,0,0,0
141.18,-0.0933,128.63,0.1104,38.77,3,3,0,3
98.96,0.1682,83.6,0.0251,76.79,0,0,3,3
112.74,-0.2335,86.75,0.0195,37.93,1,0,0,1
96.43,0.0293,110.07,-0.0807,43.45,0,1,0,1
101.06,-0.5414,90.17,-0.1134,36.56,2,0,0,2
89.92,0.2999,84.37,-0.0295,37.1,1,0,0,1
88.98,-0.0683,109.72,0.1869,35.45,0,1,0,1
85.85,-0.4428,98.43,-0.0761,43.93,2,0,0,2
91.45,-0.0083,93.76,-0.0581,37.86,0,0,0,0
71.69,-0.1291,85.8,0.2054,45.84,2,0,0,2
95.02,0.1091,88.89,-0.0405,46.03,0,0,0,0
95.31,-0.4818,88.21,0.1065,49.31,2,0,0,2
89.87,0.0036,97.48,0.0813,37.95,0,0,0,0
96.61,-0.1421,82.06,0.0035,46.73,0,0,0,0
87.78,0.1576,84.14,0.0563,35.59,0,0,0,0
83.86,-0.1864,87.95,0.0066,25.03,2,0,2,2
89.01,-0.665,103.34,-0.1055,30.3,3,1,0,3
100.87,-0.1742,80.22,0.0769,77.18,3,0,3,3
87.95,-0.0345,93.46,-0.0966,43.11,0,0,0,0
89.04,-0.2144,81.14,-0.0728,64.03,0,0,1,1
81.69,-0.2512,84.96,0.1717,79.05,2,0,3,3
94.12,-0.1518,104.34,0.0416,36.48,0,1,0,1
99.73,0.1244,71.31,0.0272,35.68,0,2,0,2
